2025/10/15 19:50:01.520957 [INFO] Log Publish not set, skipping...
2025/10/15 20:10:01.810589 [INFO] Log Publish not set, skipping...
2025/10/15 20:30:01.852577 [INFO] Log Publish not set, skipping...
2025/10/15 20:50:01.880443 [INFO] Log Publish not set, skipping...
2025/10/15 21:10:01.148701 [INFO] Log Publish not set, skipping...
2025/10/15 21:30:01.183041 [INFO] Log Publish not set, skipping...
2025/10/15 21:50:01.208228 [INFO] Log Publish not set, skipping...
2025/10/15 22:10:01.371220 [INFO] Log Publish not set, skipping...
2025/10/15 22:30:01.396069 [INFO] Log Publish not set, skipping...
2025/10/15 22:50:01.429490 [INFO] Log Publish not set, skipping...
2025/10/15 23:10:01.845684 [INFO] Log Publish not set, skipping...
2025/10/15 23:30:01.878605 [INFO] Log Publish not set, skipping...
2025/10/15 23:50:01.912690 [INFO] Log Publish not set, skipping...
2025/10/16 00:10:01.254927 [INFO] Log Publish not set, skipping...
2025/10/16 00:30:01.387874 [INFO] Log Publish not set, skipping...
2025/10/16 00:50:01.427386 [INFO] Log Publish not set, skipping...
2025/10/16 01:10:01.945212 [INFO] Log Publish not set, skipping...
2025/10/16 01:30:01.993354 [INFO] Log Publish not set, skipping...
2025/10/16 01:50:02.048756 [INFO] Log Publish not set, skipping...
2025/10/16 02:10:01.147425 [INFO] Log Publish not set, skipping...
2025/10/16 02:30:01.178541 [INFO] Log Publish not set, skipping...
2025/10/16 02:50:01.206408 [INFO] Log Publish not set, skipping...
2025/10/16 03:10:01.455191 [INFO] Log Publish not set, skipping...
2025/10/16 03:30:01.494459 [INFO] Log Publish not set, skipping...
2025/10/16 03:50:01.590917 [INFO] Log Publish not set, skipping...
2025/10/16 04:10:01.839226 [INFO] Log Publish not set, skipping...
2025/10/16 04:30:01.918417 [INFO] Log Publish not set, skipping...
2025/10/16 04:50:01.959807 [INFO] Log Publish not set, skipping...
2025/10/16 05:10:01.270268 [INFO] Log Publish not set, skipping...
2025/10/16 05:30:01.317791 [INFO] Log Publish not set, skipping...
2025/10/16 05:50:01.395850 [INFO] Log Publish not set, skipping...
2025/10/16 06:10:01.672399 [INFO] Log Publish not set, skipping...
2025/10/16 06:30:01.715059 [INFO] Log Publish not set, skipping...
2025/10/16 06:50:01.762201 [INFO] Log Publish not set, skipping...
2025/10/16 07:10:02.033470 [INFO] Log Publish not set, skipping...
2025/10/16 07:30:01.060129 [INFO] Log Publish not set, skipping...
2025/10/16 07:50:01.075854 [INFO] Log Publish not set, skipping...
2025/10/16 08:10:01.158182 [INFO] Log Publish not set, skipping...
2025/10/16 08:30:01.178198 [INFO] Log Publish not set, skipping...
2025/10/16 08:50:01.203880 [INFO] Log Publish not set, skipping...
2025/10/16 09:10:01.353359 [INFO] Log Publish not set, skipping...
2025/10/16 09:30:01.400312 [INFO] Log Publish not set, skipping...
2025/10/16 09:50:01.440610 [INFO] Log Publish not set, skipping...
2025/10/16 10:10:01.702762 [INFO] Log Publish not set, skipping...
2025/10/16 10:30:01.756377 [INFO] Log Publish not set, skipping...
2025/10/16 10:50:01.808866 [INFO] Log Publish not set, skipping...
2025/10/16 11:10:01.120793 [INFO] Log Publish not set, skipping...
2025/10/16 11:30:01.143713 [INFO] Log Publish not set, skipping...
2025/10/16 11:50:01.187225 [INFO] Log Publish not set, skipping...
2025/10/16 12:10:01.361356 [INFO] Log Publish not set, skipping...
2025/10/16 12:30:01.428316 [INFO] Log Publish not set, skipping...
2025/10/16 12:50:01.464955 [INFO] Log Publish not set, skipping...
2025/10/16 13:10:01.635580 [INFO] Log Publish not set, skipping...
2025/10/16 13:30:01.668541 [INFO] Log Publish not set, skipping...
2025/10/16 13:50:01.690564 [INFO] Log Publish not set, skipping...
2025/10/16 14:10:01.039728 [INFO] Log Publish not set, skipping...
2025/10/16 14:30:01.062558 [INFO] Log Publish not set, skipping...
2025/10/16 14:50:01.077403 [INFO] Log Publish not set, skipping...
